question_id,question,answer_a,answer_b,run1_winner,run1_reason,run2_winner,run2_reason,winner_after_swap
15,What does cost monitoring measure in Lab 24?,Offline RAG baseline: cost monitoring measures a core quality signal for RAG evaluation.,Offline RAG baseline: cost monitoring measures a core quality signal for RAG evaluation. It also names the metric and cites the guardrail or evaluation layer affected.,A,A is shorter with no factual loss.,B,Swap check after mapping back to original labels.,tie
16,What does synthetic test generation measure in Lab 24?,Offline RAG baseline: synthetic test generation measures a core quality signal for RAG evaluation.,Offline RAG baseline: synthetic test generation measures a core quality signal for RAG evaluation. It also names the metric and cites the guardrail or evaluation layer affected.,B,B is more complete and still concise.,tie,Swap check after mapping back to original labels.,tie
17,What does multi-hop retrieval measure in Lab 24?,Offline RAG baseline: multi-hop retrieval measures a core quality signal for RAG evaluation.,Offline RAG baseline: multi-hop retrieval measures a core quality signal for RAG evaluation. It also names the metric and cites the guardrail or evaluation layer affected.,B,B is more complete and still concise.,B,Swap check after mapping back to original labels.,B
18,What does hybrid search measure in Lab 24?,Offline RAG baseline: hybrid search measures a core quality signal for RAG evaluation.,Offline RAG baseline: hybrid search measures a core quality signal for RAG evaluation. It also names the metric and cites the guardrail or evaluation layer affected.,B,B is more complete and still concise.,B,Swap check after mapping back to original labels.,B
19,What does reranking measure in Lab 24?,Offline RAG baseline: reranking measures a core quality signal for RAG evaluation.,Offline RAG baseline: reranking measures a core quality signal for RAG evaluation. It also names the metric and cites the guardrail or evaluation layer affected.,B,B is more complete and still concise.,B,Swap check after mapping back to original labels.,B
20,What does SLO thresholds measure in Lab 24?,Offline RAG baseline: SLO thresholds measures a core quality signal for RAG evaluation.,Offline RAG baseline: SLO thresholds measures a core quality signal for RAG evaluation. It also names the metric and cites the guardrail or evaluation layer affected.,A,A is shorter with no factual loss.,tie,Swap check after mapping back to original labels.,tie
21,What does false positive rate measure in Lab 24?,Offline RAG baseline: false positive rate measures a core quality signal for RAG evaluation.,Offline RAG baseline: false positive rate measures a core quality signal for RAG evaluation. It also names the metric and cites the guardrail or evaluation layer affected.,B,B is more complete and still concise.,B,Swap check after mapping back to original labels.,B
22,What does refuse rate measure in Lab 24?,Offline RAG baseline: refuse rate measures a core quality signal for RAG evaluation.,Offline RAG baseline: refuse rate measures a core quality signal for RAG evaluation. It also names the metric and cites the guardrail or evaluation layer affected.,B,B is more complete and still concise.,B,Swap check after mapping back to original labels.,B
23,What does human calibration measure in Lab 24?,Offline RAG baseline: human calibration measures a core quality signal for RAG evaluation.,Offline RAG baseline: human calibration measures a core quality signal for RAG evaluation. It also names the metric and cites the guardrail or evaluation layer affected.,B,B is more complete and still concise.,B,Swap check after mapping back to original labels.,B
24,What does CI eval gate measure in Lab 24?,Offline RAG baseline: CI eval gate measures a core quality signal for RAG evaluation.,Offline RAG baseline: CI eval gate measures a core quality signal for RAG evaluation. It also names the metric and cites the guardrail or evaluation layer affected.,B,B is more complete and still concise.,tie,Swap check after mapping back to original labels.,tie
25,What does failure clustering measure in Lab 24?,Offline RAG baseline: failure clustering measures a core quality signal for RAG evaluation.,Offline RAG baseline: failure clustering measures a core quality signal for RAG evaluation. It also names the metric and cites the guardrail or evaluation layer affected.,A,A is shorter with no factual loss.,B,Swap check after mapping back to original labels.,tie
26,Why should faithfulness be monitored together with guardrail latency?,Offline RAG baseline: faithfulness shows answer quality while latency shows production usability; both are needed for safe rollout.,Offline RAG baseline: faithfulness shows answer quality while latency shows production usability; both are needed for safe rollout. It also names the metric and cites the guardrail or evaluation layer affected.,B,B is more complete and still concise.,B,Swap check after mapping back to original labels.,B
27,Why should answer relevancy be monitored together with guardrail latency?,Offline RAG baseline: answer relevancy shows answer quality while latency shows production usability; both are needed for safe rollout.,Offline RAG baseline: answer relevancy shows answer quality while latency shows production usability; both are needed for safe rollout. It also names the metric and cites the guardrail or evaluation layer affected.,B,B is more complete and still concise.,B,Swap check after mapping back to original labels.,B
28,Why should context precision be monitored together with guardrail latency?,Offline RAG baseline: context precision shows answer quality while latency shows production usability; both are needed for safe rollout.,Offline RAG baseline: context precision shows answer quality while latency shows production usability; both are needed for safe rollout. It also names the metric and cites the guardrail or evaluation layer affected.,B,B is more complete and still concise.,tie,Swap check after mapping back to original labels.,tie
29,Why should context recall be monitored together with guardrail latency?,Offline RAG baseline: context recall shows answer quality while latency shows production usability; both are needed for safe rollout.,Offline RAG baseline: context recall shows answer quality while latency shows production usability; both are needed for safe rollout. It also names the metric and cites the guardrail or evaluation layer affected.,B,B is more complete and still concise.,B,Swap check after mapping back to original labels.,B
30,Why should Cohen's kappa be monitored together with guardrail latency?,Offline RAG baseline: Cohen's kappa shows answer quality while latency shows production usability; both are needed for safe rollout.,Offline RAG baseline: Cohen's kappa shows answer quality while latency shows production usability; both are needed for safe rollout. It also names the metric and cites the guardrail or evaluation layer affected.,A,A is shorter with no factual loss.,B,Swap check after mapping back to original labels.,tie
