question,answer,contexts,ground_truth,evolution_type,faithfulness,answer_relevancy,context_precision,context_recall
What does human calibration measure in Lab 24?,Offline RAG baseline: human calibration measures a core quality signal for RAG evaluation.,"[""Lab 24 covers human calibration as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",human calibration measures a core quality signal for RAG evaluation.,simple,0.88,0.826,0.69,0.745
What does CI eval gate measure in Lab 24?,Offline RAG baseline: CI eval gate measures a core quality signal for RAG evaluation.,"[""Lab 24 covers CI eval gate as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",CI eval gate measures a core quality signal for RAG evaluation.,simple,0.865,0.808,0.79,0.82
What does failure clustering measure in Lab 24?,Offline RAG baseline: failure clustering measures a core quality signal for RAG evaluation.,"[""Lab 24 covers failure clustering as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",failure clustering measures a core quality signal for RAG evaluation.,simple,0.85,0.88,0.77,0.795
Why should faithfulness be monitored together with guardrail latency?,Offline RAG baseline: faithfulness shows answer quality while latency shows production usability; both are needed for safe rollout.,"[""Lab 24 covers faithfulness as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",faithfulness shows answer quality while latency shows production usability; both are needed for safe rollout.,reasoning,0.755,0.782,0.67,0.69
Why should answer relevancy be monitored together with guardrail latency?,Offline RAG baseline: answer relevancy shows answer quality while latency shows production usability; both are needed for safe rollout.,"[""Lab 24 covers answer relevancy as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",answer relevancy shows answer quality while latency shows production usability; both are needed for safe rollout.,reasoning,0.74,0.764,0.65,0.665
Why should context precision be monitored together with guardrail latency?,Offline RAG baseline: context precision shows answer quality while latency shows production usability; both are needed for safe rollout.,"[""Lab 24 covers context precision as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",context precision shows answer quality while latency shows production usability; both are needed for safe rollout.,reasoning,0.83,0.746,0.63,0.74
Why should context recall be monitored together with guardrail latency?,Offline RAG baseline: context recall shows answer quality while latency shows production usability; both are needed for safe rollout.,"[""Lab 24 covers context recall as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",context recall shows answer quality while latency shows production usability; both are needed for safe rollout.,reasoning,0.815,0.728,0.61,0.715
Why should Cohen's kappa be monitored together with guardrail latency?,Offline RAG baseline: Cohen's kappa shows answer quality while latency shows production usability; both are needed for safe rollout.,"[""Lab 24 covers Cohen's kappa as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",Cohen's kappa shows answer quality while latency shows production usability; both are needed for safe rollout.,reasoning,0.8,0.8,0.71,0.69
Why should position bias be monitored together with guardrail latency?,Offline RAG baseline: position bias shows answer quality while latency shows production usability; both are needed for safe rollout.,"[""Lab 24 covers position bias as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",position bias shows answer quality while latency shows production usability; both are needed for safe rollout.,reasoning,0.605,0.602,0.51,0.485
Why should length bias be monitored together with guardrail latency?,Offline RAG baseline: length bias shows answer quality while latency shows production usability; both are needed for safe rollout.,"[""Lab 24 covers length bias as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",length bias shows answer quality while latency shows production usability; both are needed for safe rollout.,reasoning,0.77,0.764,0.67,0.74
Why should PII redaction be monitored together with guardrail latency?,Offline RAG baseline: PII redaction shows answer quality while latency shows production usability; both are needed for safe rollout.,"[""Lab 24 covers PII redaction as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",PII redaction shows answer quality while latency shows production usability; both are needed for safe rollout.,reasoning,0.755,0.746,0.65,0.715
Why should topic validation be monitored together with guardrail latency?,Offline RAG baseline: topic validation shows answer quality while latency shows production usability; both are needed for safe rollout.,"[""Lab 24 covers topic validation as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",topic validation shows answer quality while latency shows production usability; both are needed for safe rollout.,reasoning,0.56,0.548,0.45,0.51
Why should adversarial defense be monitored together with guardrail latency?,Offline RAG baseline: adversarial defense shows answer quality while latency shows production usability; both are needed for safe rollout.,"[""Lab 24 covers adversarial defense as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",adversarial defense shows answer quality while latency shows production usability; both are needed for safe rollout.,reasoning,0.83,0.8,0.61,0.665
Why should Llama Guard be monitored together with guardrail latency?,Offline RAG baseline: Llama Guard shows answer quality while latency shows production usability; both are needed for safe rollout.,"[""Lab 24 covers Llama Guard as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",Llama Guard shows answer quality while latency shows production usability; both are needed for safe rollout.,reasoning,0.815,0.782,0.71,0.74
Why should P95 latency be monitored together with guardrail latency?,Offline RAG baseline: P95 latency shows answer quality while latency shows production usability; both are needed for safe rollout.,"[""Lab 24 covers P95 latency as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",P95 latency shows answer quality while latency shows production usability; both are needed for safe rollout.,reasoning,0.8,0.764,0.69,0.715
Why should alert playbooks be monitored together with guardrail latency?,Offline RAG baseline: alert playbooks shows answer quality while latency shows production usability; both are needed for safe rollout.,"[""Lab 24 covers alert playbooks as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",alert playbooks shows answer quality while latency shows production usability; both are needed for safe rollout.,reasoning,0.605,0.566,0.49,0.51
How do audit logs and the guardrail stack interact in the production blueprint?,"Offline RAG baseline: audit logs detects quality regressions, while guardrails prevent unsafe or out-of-scope responses before users see them.","[""Lab 24 covers audit logs as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]","audit logs detects quality regressions, while guardrails prevent unsafe or out-of-scope responses before users see them.",multi_context,0.73,0.688,0.61,0.625
How do cost monitoring and the guardrail stack interact in the production blueprint?,"Offline RAG baseline: cost monitoring detects quality regressions, while guardrails prevent unsafe or out-of-scope responses before users see them.","[""Lab 24 covers cost monitoring as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]","cost monitoring detects quality regressions, while guardrails prevent unsafe or out-of-scope responses before users see them.",multi_context,0.715,0.76,0.59,0.7
How do synthetic test generation and the guardrail stack interact in the production blueprint?,"Offline RAG baseline: synthetic test generation detects quality regressions, while guardrails prevent unsafe or out-of-scope responses before users see them.","[""Lab 24 covers synthetic test generation as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]","synthetic test generation detects quality regressions, while guardrails prevent unsafe or out-of-scope responses before users see them.",multi_context,0.52,0.562,0.39,0.495
How do multi-hop retrieval and the guardrail stack interact in the production blueprint?,"Offline RAG baseline: multi-hop retrieval detects quality regressions, while guardrails prevent unsafe or out-of-scope responses before users see them.","[""Lab 24 covers multi-hop retrieval as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]","multi-hop retrieval detects quality regressions, while guardrails prevent unsafe or out-of-scope responses before users see them.",multi_context,0.79,0.724,0.67,0.65
How do hybrid search and the guardrail stack interact in the production blueprint?,"Offline RAG baseline: hybrid search detects quality regressions, while guardrails prevent unsafe or out-of-scope responses before users see them.","[""Lab 24 covers hybrid search as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]","hybrid search detects quality regressions, while guardrails prevent unsafe or out-of-scope responses before users see them.",multi_context,0.775,0.706,0.65,0.625
How do reranking and the guardrail stack interact in the production blueprint?,"Offline RAG baseline: reranking detects quality regressions, while guardrails prevent unsafe or out-of-scope responses before users see them.","[""Lab 24 covers reranking as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]","reranking detects quality regressions, while guardrails prevent unsafe or out-of-scope responses before users see them.",multi_context,0.58,0.508,0.45,0.52
How do SLO thresholds and the guardrail stack interact in the production blueprint?,"Offline RAG baseline: SLO thresholds detects quality regressions, while guardrails prevent unsafe or out-of-scope responses before users see them.","[""Lab 24 covers SLO thresholds as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]","SLO thresholds detects quality regressions, while guardrails prevent unsafe or out-of-scope responses before users see them.",multi_context,0.745,0.76,0.61,0.675
How do false positive rate and the guardrail stack interact in the production blueprint?,"Offline RAG baseline: false positive rate detects quality regressions, while guardrails prevent unsafe or out-of-scope responses before users see them.","[""Lab 24 covers false positive rate as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]","false positive rate detects quality regressions, while guardrails prevent unsafe or out-of-scope responses before users see them.",multi_context,0.73,0.742,0.59,0.65
How do refuse rate and the guardrail stack interact in the production blueprint?,"Offline RAG baseline: refuse rate detects quality regressions, while guardrails prevent unsafe or out-of-scope responses before users see them.","[""Lab 24 covers refuse rate as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]","refuse rate detects quality regressions, while guardrails prevent unsafe or out-of-scope responses before users see them.",multi_context,0.535,0.544,0.39,0.445
How do human calibration and the guardrail stack interact in the production blueprint?,"Offline RAG baseline: human calibration detects quality regressions, while guardrails prevent unsafe or out-of-scope responses before users see them.","[""Lab 24 covers human calibration as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]","human calibration detects quality regressions, while guardrails prevent unsafe or out-of-scope responses before users see them.",multi_context,0.7,0.706,0.67,0.7
How do CI eval gate and the guardrail stack interact in the production blueprint?,"Offline RAG baseline: CI eval gate detects quality regressions, while guardrails prevent unsafe or out-of-scope responses before users see them.","[""Lab 24 covers CI eval gate as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]","CI eval gate detects quality regressions, while guardrails prevent unsafe or out-of-scope responses before users see them.",multi_context,0.79,0.688,0.65,0.675
How do failure clustering and the guardrail stack interact in the production blueprint?,"Offline RAG baseline: failure clustering detects quality regressions, while guardrails prevent unsafe or out-of-scope responses before users see them.","[""Lab 24 covers failure clustering as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]","failure clustering detects quality regressions, while guardrails prevent unsafe or out-of-scope responses before users see them.",multi_context,0.595,0.58,0.45,0.47
